ID,Source,Page,X1,Y1,X2,Y2,Width,Height,TextLength,Text
W-057,web,1,841,29670,2476,33894,1635,4224,1256,"寺社名からさがす
雷山千如寺大悲王院
28二日市八幡宮
ぜんこくそうほんぐうすいてんぐう29全国総本宮水天宮
30水田天満宮
31下庄八幡神社
大牟田神社
佐賀
とすやさかじんじゃ33鳥栖八坂神社
34佐嘉神社
からつじんじゃ
唐津神社
36大江神大神宮
武雄神社
38豊玉姫神社
陶山神社
長崎
亀山八幡宮
ふくいしかんのんせいがんじ
41福石観音清岩寺
42昊天宮
43富松神社
おおむらじんじゃ44大村神社
45御館山稲荷神社
46諫早神社(九州総守護四面宮)
47高城神社
ちんぜいたいしゃすわじんじゃ
48鎮西大社諏訪神社
ふちじんじゃ
淵神社
大分
50奥平神社
※本サイト記載されている情報は2025年1月現在のものです。※御朱印の初穂料やデザイン等は変更となる場合がございます。※御朱印対応時間は施設により異なります。また、頒布可能日や時間は急遽変わる可能性があります。※掲載の写真、御朱印、特別御朱印の画像はイメージです。
※御朱印を受けるには各寺社が定める初穂料が必要です。
※境内には撮影禁止区域があります。マナーを守ってご参拝ください。
福岡
こうそうはちまんぐう甲宗八幡宮
"
W-058,web,1,2153,29664,2995,33516,842,3852,722,"特別このマークは特別御朱印が御朱印ある寺社です。
(特別)
御朱印
【特別
はちまんかまどじんじゃ
八幡竈門神社
御朱印
かすがじんじゃ53春日神社
【特別
御朱印
うえのわかみやはちまんしゃ
【特別
54上野若宮八幡社
御朱印
おおはらはちまんぐう
特別御朱印
55大原八幡宮
【特別
おおぎもりいなりじんじゃ
扇森稲荷神社
御朱印
ふくてんまんぐう57福良天満宮
特別御朱印
うずきやさかじんじゃ
特別
臼杵八坂神社
御朱印
ごしょみょうじんしゃ59五所明神社
特別
御朱印
熊本
特別
60肥後國総鎮護北岡神社
御朱印
おおづひよしじんじゃ
61大津日吉神社
あそじんじゃ62阿蘇神社
やつしろぐう八代宮
鹿児島
すわじんじゃ
諏訪神社
<特別
たけべじんじゃ
65建部神社
御朱印
/特別御朱印
谷山神社
さつまぎおんぐうやさかじんじゃ薩摩祇園宮八坂神社
【特別
御朱印
かごしまじんぐ
特別朱印
御朱印68鹿児島神宮
(特別
宮崎
御朱印
いまやまはちまんぐう
特別
特別御朱印
御朱印69今山八幡宮
【特別
特別
70今山大師
御朱印
御朱印
(特別
【特別
御朱印71都農神社
みさきじ"
W-059,web,1,1625,34032,2406,34086,781,54,11,パンフレットはこちら>
W-060,web,1,1881,34486,1942,34931,61,445,7,よくあるご質問
W-061,web,1,857,35152,2195,35382,1338,230,68,"Q御朱印をいただける時間帯は?
A寺社が参拝可能な時間とは別に御朱印受付時間があることが多いです。
時間は各施設の情報をご確認ください。"
W-062,web,1,857,35520,2195,35750,1338,230,68,"Q御朱印帳を持参し忘れた場合は?
A神社備え付けの紙に書いていただけますのでその旨お伝えしましょう。
帰宅後御朱印帳に綴じて保管します。"
W-063,web,1,841,35872,1689,36044,848,172,39,"Q御朱印をいただく時納めるべき初穂料は?
各施設の情報をご確認ください。
QA"
W-064,web,1,857,36153,2979,36390,2122,237,90,"Q御朱印帳の注意点
A表裏両面使いも可能ですが、表面のみ使用するのが基本。仏壇や神棚で保管するのがベストですが、ない場合は家
のながで神域を設けて、書籍などとは区別して保管します。"
P-001,pdf,1,293,329,1751,2460,1458,2131,888,"おトクなきっぷで
九州の寺社めぐりをしよう!
特別御朱印
JR九州の
JR九州の駅長がおすすめする対象の寺社に特別御朱印と初穂料を納めると、九州寺社めぐり限定の特別御朱印がいただけます。
JR九州普通・快速列車
特別與朱印
数量限定!特別御朱印帳
ぐるっと九州
連続する3日間
寺社めぐりきっぷ
乗り放題
特別御印帳付
[JR九州のみどりの窓口]17,000円[JR九州インターネット列車予約]15,500円
します。が必要になります。
JR九州普通・快速列車
特別御朱印
ぐるっと九州
連続する3日間
5枚
乗り放題
寺社めぐりきっぷ
[JR九州インターネット列車予約]14,300円いたしません。
■発売期間:2025年1月27日(月)~10月29日(水)■ご利用期間:2025年2月1日(土)~10月31日(金)■有効期間:ご利用開始日から連続する3日間JRになれます。
○JR九
「JR九州
予行JR
対する等が別途必要
インターは、
ネット予約
です。
さらに!2025年4月1日より、九州の鉄道の普通快速列車1日乗り放題が3回(人)分利用できる特別御朱印の「旅名人の九州満寺社めぐりきっぷ"
P-002,pdf,1,2574,378,3026,786,452,408,19,"駅長がおすすめする寺社を紹介!
[九州"
P-003,pdf,1,2594,1030,3059,1478,465,448,4,"ぐ社
り"
P-004,pdf,1,2867,1401,3018,1523,151,122,15,"2.1(+)
10.31(+)"
P-005,pdf,1,1576,2293,1731,2521,155,228,14,"詳しくはこちら
024000"
P-006,pdf,1,2725,2427,3373,3271,648,844,47,"03菅原神社
りすの時代古くから下町神として、などの集めている
JRレール駅徒歩町1-6
JR"
P-007,pdf,1,207,3034,1376,4460,1169,1426,175,"JR九州の駅長がおすすめする九州の寺社
九州
寺社めぐり2025年2月1日(土)~10月31日(金)
九州には日本に伝わる神話や伝説が多く歴史を持つ寺社があります。
日本の歴史や文化に触れてはいかがでしょうか。参拝した後は「御」をいただきご縁が結ばれた証を持ち帰りましょう。
長類
福岡県
長助劑
福岡県
|鹿児島用
[美平神社]
一宮神社
日本神社"
P-008,pdf,1,2028,3026,2484,3234,456,208,29,"02布神社
す
伐したことから
JR「和神社前」下車、徒歩"
P-009,pdf,1,2045,3633,2533,3870,488,237,46,"04小倉祗園八坂神社
1
しみを込めて」とも呼ばれている。
JR西小倉駅から徒歩5分
2-2"
P-010,pdf,1,2871,3645,3385,3870,514,225,35,"05正八幡宮
としてを深めている。
JR駅から徒歩約5分
-1
る人々"
P-011,pdf,1,378,3967,521,4187,143,220,19,"町西河神社
八坂神
2八幡宮
春日神社"
P-012,pdf,1,647,3963,721,4085,74,122,6,"STRE
駅"
P-013,pdf,1,2045,4236,2550,4468,505,232,36,"06風治八幡宮
どの
JR田川伊田駅から徒歩約1分
2-30
えられる。"
P-014,pdf,1,2859,4236,3197,4472,338,236,37,"07平等寺(三井寺)
JR川駅から徒歩約15分福岡県田川市伊田2704-1"
P-015,pdf,1,635,4477,892,4717,257,240,14,"駅
駅
熊本県
GRAERS"
P-016,pdf,1,2998,4301,3389,4350,391,49,13,"だまれている。
なお地蔵様"
P-017,pdf,1,1083,4570,1808,5067,725,497,50,"は
ください
などに「関の守
としてきた。
約12分
1-7-18
01甲八幡宮
に
詳しくはこちら"
P-018,pdf,1,2028,4843,2660,5153,632,310,42,"08春日神社7750
JR田川後藤寺駅から徒歩約8分]
市町6-13
では、
畏神冰"
P-019,pdf,1,2908,4827,3654,5393,746,566,31,"|多賀神社
JR駅から徒歩約7分
701
C
イメージです。2"
P-020,pdf,1,203,5031,879,5344,676,313,29,"鹿児島神宮
宮崎神宮
青島神社
[佐駕照
本人駅
神社
A"
P-021,pdf,1,244,5817,696,6016,452,199,21,"10神社
したがる。
JR駅約5分
ためら"
P-022,pdf,1,1071,5825,1605,6053,534,228,32,"鍵相八幡宮
しまれている。記したもの
JR駅から徒歩約5分2-3"
P-023,pdf,1,2049,5821,2448,6049,399,228,22,"18宮地神社
光
JR約30分
7-1
しい"
P-024,pdf,1,2880,5825,3189,6049,309,224,27,"19香椎宮
JR香椎神宮駅から徒歩約4分
4-16-1"
P-025,pdf,1,293,6416,594,6656,301,240,40,"|登山八幡神社
としても知られる
JR八幡駅から徒歩約5分
市東区の町4-4-1"
P-026,pdf,1,635,6424,778,6505,143,81,12,"[特別あり]
2003年"
P-027,pdf,1,1091,6424,1425,6652,334,228,28,"13春日神社
JR駅から徒歩約10分
藤田1-10-44"
P-028,pdf,1,2045,6428,2317,6652,272,224,16,"20宇美八幡宮
JR
1-1-1"
P-029,pdf,1,2904,6424,3377,6652,473,228,36,"補陀洛寺
キー・
としてのシーズンが訪れる。
JR歩約3分
-12-40"
P-030,pdf,1,1641,6623,1772,6852,131,229,14,"[崎駅園上駅員
「神神
社社"
P-031,pdf,1,244,7019,574,7255,330,236,21,"14岡田宮
多くの
JR約7分
開町1-1"
P-032,pdf,1,1091,7006,1600,7251,509,245,45,"15一宮神社
運のご利益を伝えられ
されている。
JR駅から徒歩約15分
区山町12-36"
P-033,pdf,1,2028,7006,2562,7251,534,245,38,"22崎宮
としても有名で地元プ
JR駅から徒歩約8分1-22-1
運の神
1"
P-034,pdf,1,2855,7014,3385,7251,530,237,51,"23十日恵比須神社
「えび
では、並び、全国からも
多くの人がれる
なん
JR駅から徒歩約5分
7-1"
P-035,pdf,1,260,7621,769,7854,509,233,48,"16日神社
したのがされる
現在では「人生における
JR「学校下車徒歩8分
九州市八幡
「あり」"
P-036,pdf,1,1087,7617,1592,7809,505,192,32,"17寺
JR東駅からバスで「宗像大社前」下車徒歩約17分
日本で"
P-037,pdf,1,2024,7621,2403,7854,379,233,27,"24一之宮住吉神社
シティ」は、
JR博
3-1-51"
